"","a_log","a12","h12","h_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","h12.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"11","-2","-0.00035","-0.00035","-2","-1","-0.5","0.005","0.001","5e-04","0.005","-10","0.2","0.2","792283","NaN","-1.99550899239338","4.71036325816827e-05","-1.99802913178079","-0.00771463410209752","-0.996101153470959","-0.49475511564488","0.00593301001958477","-0.00169884055680829","0.00409358329660338","0.00195726948058436","-9.9976721989074","0.585710287381801","0.80047257311346","0","4750.33848382808","-2334.54440283935"
"12","-1","-0.00035","-2e-04","-2","-0.5","-1","5e-04","5e-04","5e-04","0.001","-10","0.2","0.2","611060","NaN","-0.974555866430665","-0.000862971438857802","-1.99178230307164","5.13401713450836e-05","-0.509333267562605","-0.991425505648845","0.000519409337374746","0.00414791360936067","0.00451329787910664","0.000397713940524308","-9.78363258405414","0.654522932015703","0.483350901323238","0","3494.03402880283","-1706.39217532673"
"13","-1","-5e-04","-0.00035","-1","-2","-0.5","5e-04","0.005","0.001","5e-04","-5","0.2","0.2","999905","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"14","-2.5","-2e-04","-5e-05","-2","-0.5","-0.5","5e-04","0.005","5e-04","0.001","-15","0.2","0.2","191087","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"15","-3","-2e-04","-0.00035","-3","-0.5","-0.5","5e-04","0.005","0.005","5e-04","-10","0.2","0.2","595911","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"16","-1","1e-04","-5e-05","-1","-0.5","-0.5","0.001","5e-04","0.005","0.005","-10","0.2","0.2","871850","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"17","-1.5","-5e-04","-2e-04","-3","-2","-3","0.001","0.001","5e-04","0.005","-15","0.2","0.2","326554","NaN","-1.40902235810934","-0.000645588646425338","-2.98815375702949","0.00151479161508416","-1.71019005475585","-2.99828087550074","0.000157995619080505","0.005296320710575","0.0177841973162334","-0.001327056779588","-14.9806459301471","0.907157491760502","0.551757773874259","0","3650.00107681669","-1784.37569933366"
"18","-1.5","-5e-04","1e-04","-1","-1","-3","0.001","0.001","0.005","5e-04","-10","0.2","0.2","580604","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"19","-1.5","-2e-04","-0.00035","-5","-2","-0.5","0.005","5e-04","0.001","5e-04","-5","0.2","0.2","976914","NaN","-1.50904281443402","-0.000965815006092534","-4.5033004445673","0.0906895433019127","-1.77685184199216","-1.51534252030958","0.0013818106944869","0.00495880137259634","0.00268071601987657","0.000588315341214105","-5.23739580927335","0.595946394129002","0.380983796921314","0","3346.33904856978","-1632.5446852102"
"20","-1","-5e-04","-2e-04","-2","-2","-1","5e-04","0.005","0.005","5e-04","-15","0.2","0.2","137305","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"21","-1.5","-0.00035","-5e-04","-3","-1","-1","0.001","5e-04","5e-04","5e-04","-5","0.2","0.2","919634","NaN","-1.53714284600375","-0.000385491327816571","-3.19254117842792","-8.80982562515249e-05","-0.685572568596106","-1.69757003100338","0.000559417052356323","0.00331213420905855","0.00507045354731499","0.000180320942107306","-5.07404658332416","0.564422100175137","0.34051436247152","0","3109.69334429853","-1514.22183307458"
"22","-1","-2e-04","1e-04","-3","-0.5","-0.5","0.005","5e-04","5e-04","0.001","-15","0.2","0.2","168490","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"23","-2","-0.00035","-0.00035","-1","-2","-3","0.005","0.005","5e-04","0.001","-15","0.2","0.2","197408","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"24","-1","-5e-05","1e-04","-3","-1","-3","0.001","0.005","0.005","0.005","-15","0.2","0.2","445370","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"25","-3","-0.00035","-5e-04","-1","-2","-1","5e-04","0.005","5e-04","5e-04","-5","0.2","0.2","947381","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"26","-3","-2e-04","-5e-04","-4","-0.5","-3","0.001","0.001","0.001","0.005","-10","0.2","0.2","833886","NaN","-3.01636294620635","0.000430697802445436","-4.01996260220145","3.39935257304408e-05","-0.387803248552618","-2.98037960833261","0.000632320709672336","0.00249145685585476","0.0130236452736486","-0.00134174649448431","-9.80671658029035","0.570733151998995","0.300921090652175","0","3211.89630202282","-1565.32331193673"
"27","-3","-5e-04","-2e-04","-2","-2","-1","0.001","5e-04","0.001","5e-04","-10","0.2","0.2","514176","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"28","-2.5","-0.00035","-2e-04","-3","-0.5","-0.5","0.001","5e-04","0.001","0.005","-10","0.2","0.2","820932","NaN","-2.42821638613732","0.000119295260329668","-3.12039450619687","-6.84331018705746e-05","-0.662522846963422","-0.463446806434793","0.000682999154561819","0.00385783507175996","0.00518252898034606","0.000358693561517133","-9.22078539704567","0.767269908601429","0.619158275431073","0","3790.25948167492","-1854.50490176277"
"29","-3","1e-04","-0.00035","-2","-0.5","-1","0.005","0.001","0.001","0.001","-5","0.2","0.2","1145421","NaN","-3.13538955421032","0.000135906824761797","-1.87333367837798","-1.07197024534016e-06","-0.785239680892285","-1.00170086956136","0.000607918470738876","0.00457766114346772","0.00473828539405466","0.00026714781279164","-4.56543751591457","0.526838302135574","0.378778357128879","0","3394.93131987597","-1656.8408208633"
"30","-2","-5e-04","-5e-04","-4","-1","-1","0.001","0.005","5e-04","0.005","-15","0.2","0.2","345753","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"31","-3","-2e-04","-5e-04","-1","-2","-0.5","0.001","0.005","0.001","0.005","-5","0.2","0.2","1309261","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"32","-1","-5e-05","-5e-04","-3","-1","-1","0.005","0.001","5e-04","5e-04","-15","0.2","0.2","30895","NaN","11.3522175073611","0.0150064850496386","8.50971180974851","-4.68403392801904","-3.49148670970819","-6.01654721390602","0.0018249756566706","0.0282804883100635","0.186141054621413","-0.0323871250668043","-43.6030689226622","0.525977108407418","0.280159302874565","0","3129.33218787168","-1524.04125486115"
"33","-2","1e-04","-2e-04","-1","-1","-1","5e-04","0.001","0.005","5e-04","-15","0.2","0.2","121198","NaN","-1.88103788340738","-0.000227266397929137","-1.02845062985641","-0.00172890454628615","-0.967535254001173","-0.874124032286064","0.000765044871160187","0.00233488789929675","0.00531026821650145","0.000332884665591251","-14.8729437455665","0.65314616252335","0.415130483383428","0","3467.54606582101","-1693.14819383582"
"34","-1.5","-5e-04","-0.00035","-4","-0.5","-1","0.001","0.005","0.001","0.005","-15","0.2","0.2","397029","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"35","-1.5","-5e-04","-5e-04","-3","-2","-0.5","0.005","0.005","5e-04","0.005","-10","0.2","0.2","808379","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"36","-2.5","1e-04","-5e-04","-4","-0.5","-3","0.005","5e-04","5e-04","5e-04","-15","0.2","0.2","12647","NaN","-2.34557854490662","-0.000204195373836272","-3.53486765832681","0.000986961133895976","-0.41970181719859","-2.78512499476023","0.0006439312641214","0.00337355688594869","0.0138623929015257","-0.00154728815259381","-15.221185023211","0.822338022070872","0.284384638522541","0","3337.50174751882","-1628.12603468472"
"37","-1.5","-2e-04","-0.00035","-1","-0.5","-0.5","0.005","5e-04","5e-04","0.005","-10","0.2","0.2","776164","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
