"","a_log","a12","h12","h_log","kr_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","h12.est","kr_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"13","-1","-2e-04","1e-04","-4","-1.125","-1","-3","0.001","5e-04","0.005","0.001","-5","0.2","0.2","5855240","NaN","-1.01519185455146","-0.0011783029674075","-3.79490345295258","0.193230784754865","-1.08763375129688","-1.43583909698352","-2.91262102180486","0.0007036536937431","0.00571096345302136","0.0108753764621372","-0.00104244397341264","-4.960052240343","0.53392013383847","0.287473093506777","0","3160.85813579902","-1536.6792412037"
"14","-2.5","1e-04","-2e-04","-4","-1.125","-1","-0.5","0.001","0.001","0.001","5e-04","-10","0.2","0.2","2667697","NaN","NaN","NaN","NaN","NA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"15","-3","-0.00035","1e-04","-3","-1.75","-1","-1","5e-04","5e-04","5e-04","0.001","-15","0.2","0.2","773481","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"16","-3","-2e-04","-2e-04","-4","-1.75","-1","-0.5","5e-04","5e-04","0.001","0.005","-5","0.2","0.2","6351436","NaN","-2.96620795453706","0.000421204756144039","-3.80402919097826","6.89560832240902e-05","-2.05863849149204","-0.982929720129121","-0.476515031488402","0.000636152713971394","0.00318878867349809","0.00499984880482942","0.00033071156976803","-4.96270165929348","0.457304414217378","0.454878829258608","0","3548.09168212828","-1730.29601436832"
"17","-3","-0.00035","1e-04","-1","-3","-0.5","-1","5e-04","0.001","0.005","0.001","-5","0.2","0.2","5922481","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"18","-1.5","1e-04","1e-04","-4","-1.75","-0.5","-0.5","5e-04","0.001","0.001","5e-04","-5","0.2","0.2","4920249","NaN","-0.869270065332753","-0.000597944597606314","-2.51252664811906","-0.000167249840709963","-0.652888743512067","-0.993531955242159","-2.32407679780342","0.000761138071408235","0.000400378431789029","0.00489333202833554","0.000168390947462267","-5.09088708986478","0.444905624703615","0.293090510398734","0","3006.77648524192","-1459.63841592514"
"19","-1.5","-5e-04","-0.00035","-5","-1.125","-0.5","-1","5e-04","5e-04","5e-04","0.005","-5","0.2","0.2","6092529","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"20","-1.5","1e-04","-2e-04","-2","-0.5","-0.5","-3","0.005","0.001","0.001","0.005","-15","0.2","0.2","1921699","NaN","11.15496658353","0.161599404284125","-3.24751357069917","1.31351231407462","-9.93424643393377","-7.74157989963429","-6.67619526772566","0.18251172760166","-0.0694605199964986","0.352270730221093","-0.0678810741527819","-12.812263922358","0.5465844609401","0.279854130937406","0","3173.80309637656","-1543.15172149246"
"21","-2.5","-0.00035","-5e-05","-1","-1.75","-1","-1","0.005","0.005","0.005","5e-04","-15","0.2","0.2","745582","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"22","-3","-5e-05","-0.00035","-3","-3","-2","-3","0.005","0.005","0.001","5e-04","-5","0.2","0.2","5034666","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"23","-3","1e-04","1e-04","-2","-0.5","-2","-1","0.001","5e-04","0.001","5e-04","-5","0.2","0.2","4849871","NaN","-3.02913822159614","0.000256149015868717","-1.87902353060147","-0.000326622626434468","-0.510005453214718","-1.97992394594586","-1.07584433831329","0.000988620199978131","0.00211088348367143","0.00518086485496642","0.000201358001379173","-5.02855635037043","0.485584366510384","0.359123168679574","0","3251.69395529281","-1582.09715095059"
"24","-3","1e-04","-2e-04","-4","-3","-2","-0.5","5e-04","0.005","0.005","0.005","-15","0.2","0.2","2212696","NaN","-3.00209451778036","-0.000198852964636358","-4.13489935986615","0.0146675132195665","-3.04851156688606","-1.96060477004667","-0.673968642673011","0.000675603665097248","0.00558709165945851","0.0063826324536838","0.000180365212681024","-14.6225509223732","0.696320687283288","0.485796988078904","0","3636.24778545507","-1774.37406603172"
